prev_filename,filename,cell_type,xmin,xmax,ymin,ymax
2018_0203_170450_129.jpg,0.jpg,hook,63,128,1,94
2018_0203_170505_134.jpg,1.jpg,hook,428,479,51,160
2018_0203_170505_134.jpg,1.jpg,helmet,238,344,2,61
2018_0203_170508_135.jpg,2.jpg,helmet,230,332,1,45
2018_0203_170511_136.jpg,3.jpg,helmet,247,353,1,47
2018_0203_170514_137.jpg,4.jpg,helmet,151,255,1,76
2018_0203_170526_141.jpg,5.jpg,hook,455,544,370,480
2018_0203_170532_143.jpg,6.jpg,helmet,99,236,1,77
2018_0203_170535_144.jpg,7.jpg,helmet,233,313,10,45
2018_0203_170538_145.jpg,8.jpg,hook,561,618,140,241
2018_0203_170538_145.jpg,8.jpg,helmet,284,374,3,55
2018_0203_170541_146.jpg,9.jpg,hook,554,630,153,223
2018_0203_170541_146.jpg,9.jpg,helmet,254,346,5,41
2018_0203_170544_147.jpg,10.jpg,hook,565,640,146,224
2018_0203_170544_147.jpg,10.jpg,helmet,252,364,1,56
2018_0203_170559_152.jpg,11.jpg,helmet,99,222,1,82
2018_0203_171416_015.jpg,12.jpg,helmet,952,1883,222,1288
2018_0203_171431_020.jpg,13.jpg,helmet,1811,2200,1450,1619
2018_0203_171513_034.jpg,14.jpg,helmet,1828,2345,1377,1808
2018_0203_171516_035.jpg,15.jpg,hook,1120,1420,1536,2084
2018_0203_171516_035.jpg,15.jpg,hook,2332,2644,1596,2224
2018_0203_171519_036.jpg,16.jpg,hook,1320,1572,1560,2144
2018_0203_171519_036.jpg,16.jpg,helmet,1869,2373,364,667
2018_0203_171522_037.jpg,17.jpg,hook,1392,1592,1560,2216
2018_0203_171522_037.jpg,17.jpg,helmet,1683,2163,157,564
2018_0203_171528_039.jpg,18.jpg,hook,1752,2024,1416,1976
2018_0203_171528_039.jpg,18.jpg,helmet,1528,2045,364,801
2018_0203_171530_040.jpg,19.jpg,hook,1876,2248,1364,1968
2018_0203_171530_040.jpg,19.jpg,hook,2412,2592,8,280
2018_0203_171530_040.jpg,19.jpg,helmet,1752,2300,98,622
2018_0203_171534_041.jpg,20.jpg,hook,2348,2632,64,244
2018_0203_171534_041.jpg,20.jpg,hook,2428,2560,1484,2056
2018_0203_171534_041.jpg,20.jpg,helmet,1711,2249,1,533
2018_0203_171537_042.jpg,21.jpg,hook,2332,2612,16,252
2018_0203_171537_042.jpg,21.jpg,hook,2380,2528,1500,2104
2018_0203_171537_042.jpg,21.jpg,helmet,1687,2225,8,605
2018_0203_171539_043.jpg,22.jpg,hook,2312,2592,36,240
2018_0203_171539_043.jpg,22.jpg,hook,1908,2264,1492,2108
2018_0203_171539_043.jpg,22.jpg,helmet,1604,2159,12,639
2018_0203_171543_044.jpg,23.jpg,hook,2336,2632,44,264
2018_0203_171543_044.jpg,23.jpg,hook,1768,2212,1420,2032
2018_0203_171543_044.jpg,23.jpg,helmet,1569,2100,2,505
2018_0203_171546_045.jpg,24.jpg,hook,1004,1272,472,776
2018_0203_171546_045.jpg,24.jpg,helmet,1683,2225,126,739
2018_0203_171548_046.jpg,25.jpg,hook,976,1108,552,912
2018_0203_171548_046.jpg,25.jpg,helmet,1656,2221,1,643
2018_0203_171552_047.jpg,26.jpg,hook,964,1108,584,1012
2018_0203_171552_047.jpg,26.jpg,helmet,1842,2366,1,605
2018_0203_171554_048.jpg,27.jpg,hook,956,1076,588,924
2018_0203_171554_048.jpg,27.jpg,helmet,1770,2263,123,643
2018_0203_171558_049.jpg,28.jpg,hook,900,1136,544,896
2018_0203_171558_049.jpg,28.jpg,helmet,1883,2318,219,660
2018_0203_171601_050.jpg,29.jpg,hook,936,1080,536,924
2018_0203_171601_050.jpg,29.jpg,hook,1384,1500,1620,2160
2018_0203_171601_050.jpg,29.jpg,helmet,1708,2276,229,653
2018_0203_171603_051.jpg,30.jpg,hook,1392,1500,1628,2216
2018_0203_171603_051.jpg,30.jpg,hook,1832,2236,1596,2016
2018_0203_171603_051.jpg,30.jpg,helmet,1669,2021,453,608
2018_0203_171607_052.jpg,31.jpg,hook,1204,1340,1684,2208
2018_0203_171607_052.jpg,31.jpg,helmet,1563,2021,243,619
2018_0203_171610_053.jpg,32.jpg,helmet,1652,2228,36,691
2018_0203_171613_054.jpg,33.jpg,helmet,1842,2390,5,615
2018_0203_171616_055.jpg,34.jpg,hook,1856,2268,1396,2124
2018_0203_171616_055.jpg,34.jpg,helmet,1228,1735,301,822
2018_0203_171618_056.jpg,35.jpg,hook,3288,3848,1044,1392
2018_0203_171618_056.jpg,35.jpg,hook,1460,1660,1468,2096
2018_0203_171618_056.jpg,35.jpg,helmet,1831,2273,346,605
2018_0203_171622_057.jpg,36.jpg,hook,3452,3888,984,1352
2018_0203_171622_057.jpg,36.jpg,hook,1644,1800,1464,2180
2018_0203_171622_057.jpg,36.jpg,helmet,1918,2376,222,567
2018_0203_171625_058.jpg,37.jpg,hook,764,1028,1308,1552
2018_0203_171625_058.jpg,37.jpg,helmet,1473,2090,5,708
2018_0203_171628_059.jpg,38.jpg,hook,304,624,1140,1420
2018_0203_171628_059.jpg,38.jpg,helmet,1452,2000,2,677
2018_0203_171631_060.jpg,39.jpg,hook,500,844,632,992
2018_0203_171631_060.jpg,39.jpg,helmet,1921,2438,1,667
2018_0203_171634_061.jpg,40.jpg,helmet,2294,2645,81,664
2018_0203_171637_062.jpg,41.jpg,hook,2944,3180,840,1108
2018_0203_171637_062.jpg,41.jpg,hook,1516,1656,1636,2232
2018_0203_171637_062.jpg,41.jpg,helmet,1714,2187,174,546
2018_0203_171640_063.jpg,42.jpg,hook,2880,3164,1,300
2018_0203_171640_063.jpg,42.jpg,hook,1660,1804,1616,2180
2018_0203_171640_063.jpg,42.jpg,helmet,1604,2197,146,622
2018_0203_171643_064.jpg,43.jpg,hook,3604,3996,748,1068
2018_0203_171643_064.jpg,43.jpg,hook,1420,1548,1708,2180
2018_0203_171643_064.jpg,43.jpg,helmet,1807,2290,253,550
2018_0203_171646_065.jpg,44.jpg,hook,1468,1664,1596,2168
2018_0203_171646_065.jpg,44.jpg,helmet,1994,2545,212,677
2018_0203_171649_066.jpg,45.jpg,hook,1412,1632,1580,2224
2018_0203_171649_066.jpg,45.jpg,helmet,1407,2028,105,515
2018_0203_171652_067.jpg,46.jpg,hook,1224,1536,1728,2520
2018_0203_171704_071.jpg,47.jpg,helmet,1487,2263,760,1464
2018_0203_171707_072.jpg,48.jpg,hook,1360,1580,1548,2080
2018_0203_171707_072.jpg,48.jpg,helmet,1849,2283,301,739
2018_0203_171710_073.jpg,49.jpg,hook,1348,1556,1652,2196
2018_0203_171710_073.jpg,49.jpg,hook,2360,2516,2148,2500
2018_0203_171710_073.jpg,49.jpg,helmet,1652,2225,191,639
2018_0203_171713_074.jpg,50.jpg,hook,1568,1824,1464,1964
2018_0203_171713_074.jpg,50.jpg,helmet,1404,1963,150,657
2018_0203_171716_075.jpg,51.jpg,hook,1528,1852,1464,1996
2018_0203_171716_075.jpg,51.jpg,hook,2272,2416,1,180
2018_0203_171716_075.jpg,51.jpg,helmet,1476,2042,198,605
2018_0203_171719_076.jpg,52.jpg,hook,2280,2440,1,196
2018_0203_171719_076.jpg,52.jpg,hook,1488,1776,1440,2032
2018_0203_171719_076.jpg,52.jpg,helmet,1283,1856,198,667
2018_0203_171722_077.jpg,53.jpg,hook,1448,1732,1468,1960
2018_0203_171722_077.jpg,53.jpg,hook,2268,2420,4,220
2018_0203_171722_077.jpg,53.jpg,helmet,1280,1849,208,646
2018_0203_171725_078.jpg,54.jpg,hook,1088,1340,1452,1872
2018_0203_171725_078.jpg,54.jpg,hook,2228,2448,2420,2852
2018_0203_171825_098.jpg,55.jpg,hook,1320,1536,1716,2240
2018_0203_171825_098.jpg,55.jpg,helmet,1728,2235,64,488
2018_0203_171828_099.jpg,56.jpg,hook,2884,3120,8,212
2018_0203_171828_099.jpg,56.jpg,hook,1464,1636,1504,2068
2018_0203_171828_099.jpg,56.jpg,helmet,1476,2007,1,505
2018_0203_171831_100.jpg,57.jpg,hook,2592,2740,12,232
2018_0203_171831_100.jpg,57.jpg,hook,1464,1672,1476,2032
2018_0203_171831_100.jpg,57.jpg,helmet,1604,2090,88,508
2018_0203_171834_101.jpg,58.jpg,hook,2392,2584,1,248
2018_0203_171834_101.jpg,58.jpg,hook,1588,1952,1340,1896
2018_0203_171834_101.jpg,58.jpg,helmet,1583,2049,122,560
2018_0203_171837_102.jpg,59.jpg,hook,2388,2600,4,240
2018_0203_171837_102.jpg,59.jpg,helmet,1635,2256,12,464
2018_0203_171840_103.jpg,60.jpg,hook,2400,2612,4,240
2018_0203_171843_104.jpg,61.jpg,hook,1820,2200,1380,1996
2018_0203_171843_104.jpg,61.jpg,hook,2444,2592,32,216
2018_0203_171843_104.jpg,61.jpg,helmet,1687,2183,1,495
2018_0203_171846_105.jpg,62.jpg,hook,976,1156,532,936
2018_0203_171846_105.jpg,62.jpg,helmet,1566,2180,1,560
2018_0203_171849_106.jpg,63.jpg,hook,952,1172,580,920
2018_0203_171849_106.jpg,63.jpg,helmet,1842,2383,1,574
2018_0203_171852_107.jpg,64.jpg,hook,928,1208,572,900
2018_0203_171852_107.jpg,64.jpg,helmet,2142,2721,233,895
2018_0203_171855_108.jpg,65.jpg,hook,980,1228,564,916
2018_0203_171855_108.jpg,65.jpg,helmet,1618,2225,8,619
2018_0203_171858_109.jpg,66.jpg,helmet,1697,2211,5,646
2018_0203_171901_110.jpg,67.jpg,hook,1424,1648,1640,2244
2018_0203_171901_110.jpg,67.jpg,helmet,1742,2325,84,526
2018_0203_171904_111.jpg,68.jpg,hook,1240,1412,1688,2216
2018_0203_171904_111.jpg,68.jpg,helmet,1594,2004,364,598
2018_0211_170919_144.jpg,69.jpg,hook,168,228,326,453
2018_0211_170946_153.jpg,70.jpg,hook,84,141,254,353
2018_0211_171122_185.jpg,71.jpg,hook,182,212,301,385
2018_0211_171122_185.jpg,71.jpg,hook,299,329,327,416
2018_0211_171122_185.jpg,71.jpg,helmet,233,304,121,171
2018_0211_171533_251.jpg,72.jpg,hook,172,202,416,480
2018_0211_171533_251.jpg,72.jpg,hook,256,302,437,480
2018_0211_171533_251.jpg,72.jpg,helmet,304,364,275,338
2018_0211_171545_255.jpg,73.jpg,hook,184,212,430,478
2018_0211_171545_255.jpg,73.jpg,helmet,279,350,237,319
2018_0211_171618_266.jpg,74.jpg,hook,171,209,211,293
2018_0211_171618_266.jpg,74.jpg,helmet,276,333,80,122
2018_0211_171624_268.jpg,75.jpg,hook,214,276,37,78
2018_0211_171624_268.jpg,75.jpg,helmet,282,338,80,119
2018_0211_171627_269.jpg,76.jpg,hook,219,271,40,76
2018_0211_171627_269.jpg,76.jpg,hook,171,216,212,277
